#time,accel_x,accel_y,accel_z
233.260183,814.226536,-10112.460574,-148.041188
233.260503,1406.391290,-10035.851024,0.000000
233.260823,1110.308913,-9959.241474,74.020594
233.261143,1924.535449,-10342.289223,-74.020594
233.261463,1480.411884,-10112.460574,-666.185348
233.261783,1406.391290,-9422.974625,-444.123565
233.262103,370.102971,-10265.679673,-518.144159
233.262423,-222.061783,-9959.241474,-888.247130
233.262743,-814.226536,-10189.070123,-962.267725
233.263063,0.000000,-9959.241474,-1406.391290
233.263383,518.144159,-9806.022374,-1110.308913
233.263703,740.205942,-9806.022374,-1184.329507
233.264023,1258.350101,-10112.460574,-666.185348
233.264343,962.267725,-9882.631924,-740.205942
233.264663,888.247130,-10572.117872,-370.102971
233.264983,814.226536,-9959.241474,0.000000
233.265303,518.144159,-10342.289223,370.102971
233.265623,888.247130,-10112.460574,0.000000
233.265943,888.247130,-9499.584175,0.000000
233.266263,1036.288319,-10035.851024,-518.144159
233.266583,1110.308913,-10265.679673,-370.102971
233.266903,592.164754,-9882.631924,-592.164754
233.267223,148.041188,-10878.556072,-1554.432478
233.267543,0.000000,-10189.070123,-1480.411884
233.267863,222.061783,-10418.898773,-1406.391290
233.268183,0.000000,-9959.241474,-1480.411884
233.268503,1110.308913,-10418.898773,-1258.350101
233.268823,888.247130,-9729.412825,-1110.308913
233.269143,1184.329507,-10342.289223,-592.164754
233.269463,740.205942,-9882.631924,-592.164754
233.269783,444.123565,-10035.851024,0.000000
233.270103,222.061783,-10342.289223,0.000000
233.270423,370.102971,-10189.070123,-296.082377
233.270743,370.102971,-10112.460574,0.000000
233.271063,1332.370696,-10112.460574,-148.041188
233.271383,1924.535449,-10572.117872,-518.144159
233.271703,1036.288319,-10035.851024,-370.102971
233.272023,1110.308913,-10265.679673,-814.226536
233.272343,222.061783,-10112.460574,-518.144159
233.272663,-518.144159,-9729.412825,518.144159
233.272983,0.000000,-9959.241474,-962.267725
233.273303,370.102971,-10342.289223,-1332.370696
233.273623,296.082377,-9882.631924,-1554.432478
233.273943,592.164754,-10418.898773,-740.205942
233.274263,518.144159,-10265.679673,-1184.329507
233.274583,296.082377,-10035.851024,-518.144159
233.274903,814.226536,-10418.898773,-296.082377
233.275223,370.102971,-9959.241474,0.000000
233.275543,444.123565,-10265.679673,0.000000
233.275863,1110.308913,-10112.460574,-74.020594
233.276183,1184.329507,-9882.631924,0.000000
233.276502,1628.453072,-10265.679673,0.000000
233.276822,2294.638420,-10572.117872,-740.205942
233.277142,1036.288319,-9882.631924,-740.205942
233.277462,666.185348,-10189.070123,-592.164754
233.277782,0.000000,-9882.631924,-518.144159
233.278102,-444.123565,-9499.584175,-592.164754
233.278422,-74.020594,-9882.631924,-1480.411884
233.278742,666.185348,-10112.460574,-1036.288319
233.279062,1110.308913,-10189.070123,-1110.308913
233.279382,814.226536,-11644.651570,-666.185348
233.279702,1110.308913,-10418.898773,-962.267725
233.280022,592.164754,-9882.631924,-740.205942
233.280342,740.205942,-10418.898773,-370.102971
233.280662,296.082377,-9882.631924,-518.144159
233.280982,0.000000,-10342.289223,0.000000
233.281302,1036.288319,-10112.460574,-148.041188
233.281622,666.185348,-10035.851024,-222.061783
233.281942,1480.411884,-10342.289223,-296.082377
233.282262,1480.411884,-10801.946522,-444.123565
233.282582,1332.370696,-10342.289223,-592.164754
233.282902,444.123565,-9729.412825,-888.247130
233.283222,222.061783,-10342.289223,-814.226536
233.283542,0.000000,-8886.707777,-1258.350101
233.283862,370.102971,-10418.898773,-1406.391290
233.284182,148.041188,-10112.460574,-1184.329507
233.284502,888.247130,-10035.851024,-1184.329507
233.284822,814.226536,-10725.336972,-814.226536
233.285142,296.082377,-9882.631924,-444.123565
233.285462,518.144159,-10418.898773,-296.082377
233.285782,148.041188,-10035.851024,-518.144159
233.286102,444.123565,-10418.898773,74.020594
233.286422,962.267725,-9959.241474,148.041188
233.286742,1110.308913,-10189.070123,74.020594
233.287062,1924.535449,-10112.460574,0.000000
233.287382,1776.494261,-9882.631924,-518.144159
233.287701,666.185348,-10342.289223,0.000000
233.288021,666.185348,-10418.898773,-592.164754
233.288341,74.020594,-10112.460574,-1184.329507
233.288661,-592.164754,-10495.508323,-962.267725
233.288981,-1036.288319,-10342.289223,-518.144159
233.289301,0.000000,-10035.851024,-1480.411884
233.289621,740.205942,-10265.679673,-962.267725
233.289941,740.205942,-10342.289223,-1110.308913
233.290261,666.185348,-10112.460574,-370.102971
233.290581,814.226536,-10112.460574,-222.061783
233.290901,296.082377,-9806.022374,0.000000
233.291221,814.226536,-10495.508323,0.000000
233.291541,1184.329507,-9729.412825,0.000000
233.291861,2294.638420,-10572.117872,148.041188
233.292181,1184.329507,-10112.460574,0.000000
233.292501,1332.370696,-10418.898773,-222.061783
233.292821,592.164754,-10112.460574,-518.144159
233.293141,-592.164754,-9576.193725,0.000000
233.293461,0.000000,-10035.851024,-1184.329507
233.293781,0.000000,-10495.508323,-1258.350101
233.294101,148.041188,-10342.289223,-1628.453072
233.294421,1702.473667,-11338.213370,-2664.741391
233.294741,1036.288319,-10035.851024,-1776.494261
233.295061,666.185348,-10035.851024,-1036.288319
233.295381,1110.308913,-10342.289223,-592.164754
233.295701,592.164754,-9959.241474,0.000000
233.296021,888.247130,-10189.070123,74.020594
233.296341,444.123565,-10035.851024,0.000000
233.296661,962.267725,-10265.679673,0.000000
233.296981,444.123565,-9882.631924,74.020594
233.297301,814.226536,-9882.631924,222.061783
233.297621,1110.308913,-9882.631924,-296.082377
233.297941,444.123565,-9882.631924,-370.102971
233.298261,592.164754,-10342.289223,-1036.288319
233.298581,74.020594,-10495.508323,-1184.329507
233.298900,74.020594,-10418.898773,-1554.432478
233.299220,370.102971,-9882.631924,-1924.535449
233.299540,592.164754,-10418.898773,-1628.453072
233.299860,814.226536,-10572.117872,-1332.370696
233.300180,222.061783,-10189.070123,-814.226536
